L3,L3 Desc,L4,L4 Desc,L5,Item,Description,Level,Responsible (From OBS),Commentary,Unnamed: 10,wbs-code,Unnamed: 12,Unnamed: 13,Unnamed: 14
A1,QH Costs,0.0,QH Costs,0.0,100000,QH Costs,3,,Double up with Staff,,BR-P4-A1-00-000,BRIP4100000,,BRIP4100000
A1,QH Costs,10.0,QH Delivery (Staff),0.0,A110000,QH Delivery (Staff),4,,Renumbered from zero to 1,,BR-P4-A1-10-000,BRIP4A110000,BRIP410000,BRIP4A110000
A1,QH Costs,10.0,QH Delivery (Staff),10.0,A110010,Project (Staff),5,Leah Mckenzie,,,BR-P4-A1-10-010,BRIP4A110010,BRIP410010,BRIP4A110010
A1,QH Costs,10.0,QH Delivery (Staff),20.0,A110020,Commercial  (Staff),5,Jason Long,,,BR-P4-A1-10-020,BRIP4A110020,BRIP410020,BRIP4A110020
A1,QH Costs,10.0,QH Delivery (Staff),30.0,A110030,Engineering Assurance (Staff),5,Head of Assets & Engineering ,,,BR-P4-A1-10-030,BRIP4A110030,BRIP410030,BRIP4A110030
A1,QH Costs,10.0,QH Delivery (Staff),40.0,A110040,Health & Safety (Staff),5,Kelly Palmer,,,BR-P4-A1-10-040,BRIP4A110040,BRIP410040,BRIP4A110040
A1,QH Costs,10.0,QH Delivery (Staff),50.0,A110050,Project Controls (Staff),5,Mike Wells,,,BR-P4-A1-10-050,BRIP4A110050,BRIP410050,BRIP4A110050
A1,QH Costs,10.0,QH Delivery (Staff),60.0,A110060,Environment (Staff) ,5,Andrew Nolan,,,BR-P4-A1-10-060,BRIP4A110060,BRIP410060,BRIP4A110060
A1,QH Costs,10.0,QH Delivery (Staff),70.0,A110070,Community and Stakeholder (Staff),5,Julie Spencer,,,BR-P4-A1-10-070,BRIP4A110070,BRIP410070,BRIP4A110070
A1,QH Costs,10.0,QH Delivery (Staff),80.0,A110080,Land (Staff),5,Head of Land (Darryl Pascal),,,BR-P4-A1-10-080,BRIP4A110080,BRIP410080,BRIP4A110080
A1,QH Costs,10.0,QH Delivery (Staff),90.0,A110090,Regional Development (Staff),5,Tracey Lyons,,,BR-P4-A1-10-090,BRIP4A110090,BRIP410090,BRIP4A110090
A1,QH Costs,10.0,QH Delivery (Staff),100.0,A110100,Quality (Staff),5,Finton Moore ,,,BR-P4-A1-10-100,BRIP4A110100,BRIP410100,BRIP4A110100
A1,QH Costs,20.0,Project Contractors,0.0,A120000,Project Contractors,4,,,,BR-P4-A1-20-000,BRIP4A120000,BRIP411000,BRIP4A120000
A1,QH Costs,20.0,Project Contractors,10.0,A120010,Project Support,5,Leah Mckenzie,,,BR-P4-A1-20-010,BRIP4A120010,BRIP411010,BRIP4A120010
A1,QH Costs,20.0,Project Contractors,20.0,A120020,Commercial Pre-Contracts ,5,Jason Long,,,BR-P4-A1-20-020,BRIP4A120020,BRIP411020,BRIP4A120020
A1,QH Costs,20.0,Project Contractors,30.0,A120030,Commercial - Contracts Admin,5,Jason Long,,,BR-P4-A1-20-030,BRIP4A120030,BRIP411030,BRIP4A120030
A1,QH Costs,20.0,Project Contractors,40.0,A120040,Project Controls,5,Mike Wells,,,BR-P4-A1-20-040,BRIP4A120040,BRIP411040,BRIP4A120040
A1,QH Costs,20.0,Project Contractors,50.0,A120050,Legal,5,Erin McCormick ,,,BR-P4-A1-20-050,BRIP4A120050,BRIP411050,BRIP4A120050
A1,QH Costs,20.0,Project Contractors,60.0,A120060,Health and Safety Consultants,5,Kelly Palmer,Split from H&S L4,,BR-P4-A1-20-060,BRIP4A120060,BRIP415020,BRIP4A120060
A1,QH Costs,20.0,Project Contractors,70.0,A120070,Engineering Assurance ,5,Head of Assets & Engineering ,,,BR-P4-A1-20-070,BRIP4A120070,BRIP411060,BRIP4A120070
A1,QH Costs,20.0,Project Contractors,80.0,A120080,Operation and Maintenance Strategy,5,Head of Assets & Engineering ,,,BR-P4-A1-20-080,BRIP4A120080,BRIP411070,BRIP4A120080
A1,QH Costs,30.0,Engineering ,0.0,A130000,Engineering ,4,,,,BR-P4-A1-30-000,BRIP4A130000,BRIP412000,BRIP4A130000
A1,QH Costs,30.0,Engineering ,10.0,A130010, Specialist Engineering - External Advisory Services,5,Bradley Norwood,,,BR-P4-A1-30-010,BRIP4A130010,BRIP412010,BRIP4A130010
A1,QH Costs,30.0,Engineering ,20.0,A130020,Specialist Engineering - Owners Engineer,5,Bradley Norwood,,,BR-P4-A1-30-020,BRIP4A130020,BRIP412020,BRIP4A130020
A1,QH Costs,30.0,Engineering ,30.0,A130030,Specialist Engineering - Design for Procurement,5,Bradley Norwood,,,BR-P4-A1-30-030,BRIP4A130030,BRIP412030,BRIP4A130030
A1,QH Costs,30.0,Engineering ,40.0,A130040,Specialist Engineering - FEED,5,Bradley Norwood,,,BR-P4-A1-30-040,BRIP4A130040,BRIP412040,BRIP4A130040
A1,QH Costs,30.0,Engineering ,50.0,A130050,Specialist Engineering - Exploratory Works,5,Bradley Norwood,,,BR-P4-A1-30-050,BRIP4A130050,BRIP412050,BRIP4A130050
A1,QH Costs,30.0,Engineering ,60.0,A130060,Specialist Advisors - Technical Assurance,5,Bradley Norwood,,,BR-P4-A1-30-060,BRIP4A130060,BRIP412060,BRIP4A130060
A1,QH Costs,30.0,Engineering ,70.0,A130070,Connection Application Process/Services,5,Bradley Norwood,,,BR-P4-A1-30-070,BRIP4A130070,BRIP412070,BRIP4A130070
A1,QH Costs,30.0,Engineering ,80.0,A130080,Independent certifier,5,Bradley Norwood,,,BR-P4-A1-30-080,BRIP4A130080,BRIP412080,BRIP4A130080
A1,QH Costs,40.0,Environment and Approvals,0.0,A140000,Environment and Approvals,4,,,,BR-P4-A1-40-000,BRIP4A140000,BRIP413000,BRIP4A140000
A1,QH Costs,40.0,Environment and Approvals,10.0,A140010,Technical Advisors - EIS Approvals and Studies,5,Andrew Nolan,,,BR-P4-A1-40-010,BRIP4A140010,BRIP413010,BRIP4A140010
